article_id,authors,case_amount,doi,journal,journal_detail,keywords,license,link,major_mesh_terms,mesh_terms,pmcid,pmid,title,year
PMC7718649,"[Ruoqi Ning, Silu Meng, Fangxu Tang, Chong Yu, Dong Xu, Xiaofang Luo, Haiying Sun]",1,10.1515/med-2020-0238,Open Med (Wars),2020 Oct 14;15(1):1054-1060.,"[covid-19, sars-cov-2, sle, hydroxychloroquine, multiple infections]",CC BY,https://pubmed.ncbi.nlm.nih.gov/33336061/,[],[Case Reports],PMC7718649,33336061,A case of SLE with COVID-19 and multiple infections,2020
PMC6134951,"[Lei Deng, Janaki Sharma, Elizabeth Ravera, Balazs Halmos, Haiying Cheng]",1,10.2147/LCTT.S173948,Lung Cancer (Auckl),2018 Sep 6;9:73-77.,"[alectinib, brigatinib]",CC BY-NC,https://pubmed.ncbi.nlm.nih.gov/30233266/,[],[Case Reports],PMC6134951,30233266,Hypersensitivity in ALK-positive lung cancers exposed to ALK inhibitors: a case of successful switch to an alternative ALK inhibitor and systematic review of the literature,2018
PMC6343374,"[Koh Takeuchi, Aseem Srivastava, Dennis R Steed]",1,10.4103/apc.APC_63_18,Ann Pediatr Cardiol,2019 Jan-Apr;12(1):66-68.,"[bronchial compression, interrupted aortic arch, pulmonary artery stenting, truncus arteriosus communis]",CC BY-NC-SA,https://pubmed.ncbi.nlm.nih.gov/30745775/,[],[Case Reports],PMC6343374,30745775,Bronchial compression as adverse effect of right pulmonary artery stenting in a patient with truncus arteriosus communis and interrupted aortic arch,2019
PMC9529523,"[Ahmad Ramahi, Amer Heider, J Michelle Kahlenberg]",1,10.1155/2022/6503453,Case Rep Rheumatol,2022 Sep 26;2022:6503453.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/36200000/,[],[Case Reports],PMC9529523,36200000,Rapid Onset and Resolution of Hydroxychloroquine Cardiomyopathy: A Case Report,2022
PMC9532611,"[Jinying Li, Qiang Zhang, Jing Chen, Xingjiao Fu, Jingpin Yang, Lijun Liu]",2,10.3389/fped.2022.935191,Front Pediatr,2022 Sep 21;10:935191.,"[17α-hydroxylase deficiency, children, hypertension, hypokalemia, novel variant, twin]",CC BY,https://pubmed.ncbi.nlm.nih.gov/36210947/,[],[Case Reports],PMC9532611,36210947,Case report: 17α- hydroxylase deficiency due to a hotspot variant and a novel compound heterozygous variant in the CYP 17 A 1 gene of five Chinese patients,2022
PMC5875137,"[Giuseppe Ciliberti, Luciano Carotti, Nicola Russo, Margherita Ilaria Gioia, Giovanni Caroli, Federico Guerra, Marco Di Eusanio, Alessandro Capucci]",1,10.4103/jcecho.jcecho_61_17,J Cardiovasc Echogr,2018 Jan-Mar;28(1):51-53.,"[aortic replacement, cardiac pseudomasses, computed tomography, echocardiography, left atrium]",CC BY-NC-SA,https://pubmed.ncbi.nlm.nih.gov/29629261/,[],[Case Reports],PMC5875137,29629261,An Unusual Left Atrial Mass in a Woman with Active Breast Cancer and Recent Cardiothoracic Surgery,2018
PMC6949661,"[Syed Muhammad Ali, Ayman Abdelhafiz Ahmed, Leena Amin Hussain Saaid, Gihan Mustafa Kamal Mohamed, Amjad Ali Shah, Mohannad Al-Tarakji, Zia Aftab, Inamulla, Sameera Rashid]",1,10.1155/2019/5791984,Case Rep Surg,2019 Dec 28;2019:5791984.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/31956463/,[],[Case Reports],PMC6949661,31956463,Heterotopic Gastric Mucosa Presenting as Lower Gastrointestinal Bleeding: An Unusual Case Report,2019
PMC10405809,"[Siva Krishna Sirasapalli, Kuppusamy Senthamizhselvan, Pazhanivel Mohan]",1,10.5005/jp-journals-10018-1388,Euroasian J Hepatogastroenterol,2023 Jan-Jun;13(1):32-35.,"[case report, diverticulum, endoscopy, esophageal stricture]",CC BY-NC,https://pubmed.ncbi.nlm.nih.gov/37554977/,[],[Case Reports],PMC10405809,37554977,Rare Association of Killian-Jamieson Diverticulum and Peptic Stricture of the Esophagus: Is It Causal or Casual?,2023
PMC7519975,"[Munish Sharma, Megha Chandna, Thang Nguyen, Abhay Vakil, Rene Franco Jr, Iqbal Ratnani, Joseph Varon, Salim Surani]",1,10.1155/2020/8841983,Case Rep Crit Care,2020 Sep 18;2020:8841983.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/33014476/,[],[Case Reports],PMC7519975,33014476,When a Dead Patient Is Not Really Dead: Lazarus Phenomenon,2020
PMC3950436,"[Abeer A Arab, Waleed A Almarakbi, Mazen S Faden, Wadeeah K Bahaziq]",1,10.4103/1658-354X.125973,Saudi J Anaesth,2014 Jan;8(1):124-7.,"[airway, oral dexmedetomidine, oral ketamine, sedation]",CC BY-NC-SA,https://pubmed.ncbi.nlm.nih.gov/24665253/,[],[Case Reports],PMC3950436,24665253,Anesthesia for tracheostomy for huge maxillofacial tumor,2014
PMC10434843,"[Louisa Müller-Miny, Raoul Sauer, Andreas Schulte-Mecklenbeck, Catharina C Gross, Stjepana Kovac, Matthias Schilling, Carolin Beuker, Heinz Wiendl, Gerd Meyer Zu Hörste]",1,10.1177/17562864231189323,Ther Adv Neurol Disord,2023 Aug 16;16:17562864231189323.,"[caspr2, case report, flow cytometry, multifocal motor neuropathy]",CC BY,https://pubmed.ncbi.nlm.nih.gov/37599705/,[],[Case Reports],PMC10434843,37599705,Contactin-associated protein 2 autoantibodies can be associated with multifocal motor-like neuropathy: a case report,2023
PMC4630775,"[Sagar Mehta, Jayant Agarwal]",1,,Eplasty,2015 Oct 28;15:ic57.,"[compartment syndrome, extremity birth deformity, in utero extremity insult, neonatal compartment syndrome, upper extremity ischemia]",CC BY,https://pubmed.ncbi.nlm.nih.gov/26576209/,[],[Case Reports],PMC4630775,26576209,Neonatal Compartment Syndrome,2015
PMC2700431,"[Akmal A Hameed, Hasan Mohamed, Motasem Al-Mansoori]",1,10.4103/1817-1737.37950,Ann Thorac Med,2008 Jan;3(1):23-5.,"[cuff leak, endotracheal tube, intracuff pressure, tracheal damage, tracheoesophageal fistula]",CC BY,https://pubmed.ncbi.nlm.nih.gov/19561879/,[],[Case Reports],PMC2700431,19561879,Acquired tracheoesophageal fistula due to high intracuff pressure,2008
PMC10106591,"[Jin Zhang, Li Liu, Chengwei Liu, Min Han, Chengyi Xu, Rujie Qiu]",1,10.3389/fcvm.2023.1134658,Front Cardiovasc Med,2023 Apr 3;10:1134658.,"[calcium channel blocker, complete atrioventricular block, coronary artery spasm, diltiazem, fatal arrhythmia]",CC BY,https://pubmed.ncbi.nlm.nih.gov/37077742/,[],[Case Reports],PMC10106591,37077742,Diltiazem is a useful and effective medication for reversal of coronary artery spasm-induced complete atrioventricular block: A case report,2023
PMC4073451,"[Douglas Magno Guimarães, Flávia Sirotheau Correa Pontes, Diogo Dos Santos Da Mata Rezende, Helder Antonio Rebelo Pontes]",1,10.4103/2231-0746.133088,Ann Maxillofac Surg,2014 Jan;4(1):107-9.,"[anatomical variations, inferior alveolar nerve branches, mandibular nerve, misdiagnosis]",CC BY-NC-SA,https://pubmed.ncbi.nlm.nih.gov/24987611/,[],[Case Reports],PMC4073451,24987611,Anatomical variation of mandibular canal simulating a recurrence of odontogenic tumor,2014
PMC6083636,"[Laura Hernandez-Moreno, Natacha Moreno Perdomo, Tomas S Aleman, Karthikeyan Baskaran, Antonio Filipe Macedo]",3,10.1155/2018/2146826,Case Rep Ophthalmol Med,2018 Jul 26;2018:2146826.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/30147974/,[],[Case Reports],PMC6083636,30147974,"Absent Foveal Pit, Also Known as Fovea Plana, in a Child without Associated Ocular or Systemic Findings",2018
PMC9969157,"[Marina Metzler, William Burns, Carly Mitchell, Stephanie Napolitano, Bimal P Chaudhari]",1,10.3389/fped.2023.1081802,Front Pediatr,2023 Feb 13;11:1081802.,"[lchadd, human milk, necrotizing enterocolitis, preterm, triheptanoin]",CC BY,https://pubmed.ncbi.nlm.nih.gov/36861082/,[],[Case Reports],PMC9969157,36861082,A case report of necrotizing enterocolitis in a moderately preterm neonate with LCHADD-A call to focus on the basics while utilizing advanced new therapies,2023
PMC4828947,"[Olaf E M G Schijns, Jan Beckervordersandforth, Louis Wagner, Govert Hoogland]",1,10.4103/2152-7806.179583,Surg Neurol Int,2016 Apr 1;7(Suppl 9):S243-6.,"[dysembryoplastic neuroepithelial tumor, ganglioglioma, glioneuronal tumor, surgery, temporal lobe epilepsy]",CC BY-NC-SA,https://pubmed.ncbi.nlm.nih.gov/27127715/,[],[Case Reports],PMC4828947,27127715,Long-term drug-resistant temporal lobe epilepsy associated with a mixed ganglioglioma and dysembryoplastic neuroepithelial tumor in an elderly patient,2016
PMC7086412,"[S Ahmed Hussain, Alisha M Smith, Jennifer A Cross]",2,10.1155/2020/8142109,Case Rep Obstet Gynecol,2020 Mar 10;2020:8142109.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/32231826/,[],[Case Reports],PMC7086412,32231826,"Diabetes, Fetal Demise, and Shoulder Dystocia: The Importance of Glucose Screening to Prevent Catastrophic Obstetric Outcomes",2020
PMC3557982,"[Gabriel Girouard, Richard Garceau, Louise Thibault, Youcef Oussedik, Nathalie Bastien, Yan Li]",1,10.3201/eid1901.120423,Emerg Infect Dis,2013 Jan;19(1):119-22.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/23260201/,"['Adenovirus Infections, Human / diagnosis', 'Adenovirus Infections, Human / virology', 'Adenoviruses, Human / genetics', 'RNA, Viral / genetics']","['Adenovirus Infections, Human / diagnosis', 'Adenovirus Infections, Human / virology', 'Adenoviruses, Human / genetics', 'RNA, Viral / genetics', Case Reports, 'Adenovirus Infections, Human / pathology', 'Adenoviruses, Human / classification', 'Adenoviruses, Human / isolation & purification', Aged, Fatal Outcome, Female, Humans, Infant, Male, Middle Aged, New Brunswick, Phylogeny, 'RNA, Viral / classification', 'RNA, Viral / isolation & purification', Serotyping, 'RNA, Viral']",PMC3557982,23260201,"Adenovirus serotype 14 infection, New Brunswick, Canada, 2011",2013
PMC9815523,"[R J C M F de Kleijn, L Schropp, J Westerink, M Nijkeuter, J van Laanen, J Teijink, C Ünlu, A W F Vos, E S van Hattum, B J Petri, G J de Borst]",1,10.3389/fsurg.2022.1080584,Front Surg,2022 Dec 22;9:1080584.,"[uedvt, anticoagulation therapy, first rib resection and scalenectomy, upper extremity deep venous thrombosis, venous thoracic outlet syndrome]",CC BY,https://pubmed.ncbi.nlm.nih.gov/36620382/,[],[],PMC9815523,36620382,Current treatment strategies for primary upper extremity deep venous thrombosis; a retrospective observational multicenter case series,2022
PMC4310058,"[Brian Park, Kingsley Abode-Iyamah, Siang Liao Lee, Patricia Kirby, George El-Khoury, Saul Wilson]",1,10.4103/2152-7806.149848,Surg Neurol Int,2015 Jan 22;6:12.,"[desmoplastic fibroma, fibrous dysplasia, intraosseous, ossifying fibroma, skull lesion]",CC BY-NC-SA,https://pubmed.ncbi.nlm.nih.gov/25657865/,[],[Case Reports],PMC4310058,25657865,Fibro-osseous lesion of the cranium in an adolescent patient,2015
PMC3859158,"[Ahmed Abu-Zaid, Ayman Azzam, Hussam Abou Al-Shaar, Abdullah M Alshammari, Tarek Amin, Shamayel Mohammed]",1,10.1155/2013/416713,Case Rep Oncol Med,2013;2013:416713.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/24371534/,[],[],PMC3859158,24371534,Pancreatic tail schwannoma in a 44-year-old male: a case report and literature review,2013
PMC9650410,"[Lily M Abadal, Garrett W Potts]",1,10.3389/fsoc.2022.1019804,Front Sociol,2022 Oct 28;7:1019804.,"[alasdair macintyre, management, manager, moral injury, virtue]",CC BY,https://pubmed.ncbi.nlm.nih.gov/36386856/,[],[],PMC9650410,36386856,A MacIntyrean account of chronic moral injury: Assessing the implications of bad management and marginalized practices at work,2022
PMC5804616,"[Seiji Ishikawa, Tsubasa Akune, Tomoko Ishibashi, Koshi Makita]",1,10.1186/s40981-017-0102-9,JA Clin Rep,2017;3(1):31.,"[complication, esophageal bypass surgery, esophagobronchial fistula, oxygenation impairment, pneumothorax, spontaneous respiration]",CC BY,https://pubmed.ncbi.nlm.nih.gov/29457075/,[],[],PMC5804616,29457075,A case of unexpected impaired oxygenation due to intraoperative pneumothorax: an adverse event associated with respiratory management with spontaneous respiration in a patient with esophagobronchial fistulae,2017
PMC3897989,"[Aiqing Li, Yongjie Wang, Zheng Deng]",1,10.1186/1471-230X-14-10,BMC Gastroenterol,2014 Jan 10;14:10.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/24410827/,"[Autoimmune Diseases / complications, 'Liver Cirrhosis, Biliary / complications', Pancreatitis / complications]","[Autoimmune Diseases / complications, 'Liver Cirrhosis, Biliary / complications', Pancreatitis / complications, Case Reports, 'Research Support, Non-U.S. Gov\'t', Review, Aged, Autoimmune Diseases / diagnosis, Humans, 'Liver Cirrhosis, Biliary / diagnosis', Male, Pancreatitis / diagnosis]",PMC3897989,24410827,Concurrent autoimmune pancreatitis and primary biliary cirrhosis: a rare case report and literature review,2014
PMC2817501,"[Yusuf Ata, Tamer Turk, Cüneyt Eris, Mihriban Yalcin, Filiz Ata, A Ozyazicioğlu]",1,10.1155/2009/165858,Case Rep Med,2009;2009:165858.,,CC BY,https://pubmed.ncbi.nlm.nih.gov/20148067/,[],[Case Reports],PMC2817501,20148067,Extended durability of a cloth-covered star-edwards caged ball prosthesis in aortic position,2009
PMC11131390,[Tamer Mohamed Elsherbiny],1,10.1177/20420188241256470,Ther Adv Endocrinol Metab,2024 May 27:15:20420188241256470.,"[graves’ disease, autoimmune thyroiditis, hypothyroidism, quitting smoking, trigger]",CC BY-NC,https://pubmed.ncbi.nlm.nih.gov/38808008/,[],[Case Reports],PMC11131390,38808008,Quitting smoking as a probable trigger for new-onset hypothyroidism after successful medical treatment of Graves' disease: case report,2024
PMC10521634,"[Irina Ciortescu, Roxana Nemteanu, Liliana Gheorghe, Corina Hincu, Liliana Fortu, Oreste Chiriac, Andreea Clim, Alina Plesa]",1,10.22551/2023.40.1003.10259,Arch Clin Cases,2023 Sep 26;10(3):133-137.,"[calprotectin value, emergency colectomy, massive rectal bleeding, ulcerative colitis]",CC BY-NC,https://pubmed.ncbi.nlm.nih.gov/37767054/,[],[Case Reports],PMC10521634,37767054,Emergency colectomy for massive rectal bleeding in a patient with well-controlled ulcerative colitis receiving Vedolizumab,2023
PMC10710131,"[Dan Chen, Wenyan Zhao, Li Ren, Kunli Tao, Miaomiao Li, Beiju Su, Yunfei Liu, Chengzhe Ban, Qingqing Wu]",1,10.7717/peerj.16496,PeerJ,2023 Dec 6:11:e16496.,"[bone augmentation, cbl, dental implant, digital dentistry, esthetics, pbl]",CC BY,https://pubmed.ncbi.nlm.nih.gov/38077445/,"['Education, Medical, Undergraduate / methods', 'Students, Medical']","['Education, Medical, Undergraduate / methods', 'Students, Medical', Randomized Controlled Trial, Humans, Maxilla / surgery, Problem-Based Learning / methods, Surveys and Questionnaires]",PMC10710131,38077445,Digital PBL-CBL teaching method improves students' performance in learning complex implant cases in atrophic anterior maxilla,2023
PMC10488652,"[Luis Miguel Osorio-Toro, Jhon Herney Quintana-Ospina, Luis Álvaro Melo-Burbano, Paola Andrea Ruiz-Jiménez, Jorge Enrique Daza-Arana, Giovanna Patricia Rivas-Tafurt, Jorge Hernán Izquierdo-Loaiza]",1,10.2147/JBM.S420937,J Blood Med,2023 Sep 4:14:507-511.,"[antibodies, autoimmune diseases, autoimmune hemolytic anemia, systemic lupus erythematosus]",CC BY-NC,https://pubmed.ncbi.nlm.nih.gov/37692069/,[],[Case Reports],PMC10488652,37692069,Autoimmune Hemolytic Anemia Caused by Cold Agglutinin Antibodies in Systemic Lupus erythematosus-a Rare Association: Case Report,2023
PMC11420039,"[Xing-Yue Chen, Jun Chen, Kun-Lan Long, Peng Ding, Rong Li, Li-Jia Zhi]",1,10.3389/fimmu.2024.1419054,Front Immunol,2024 Sep 10:15:1419054.,"[sjogren’s syndrome, autoimmune diseases, bullous pemphigoid, central nervous system infection, pathological mechanisms]",CC BY,https://pubmed.ncbi.nlm.nih.gov/39318633/,"[Central Nervous System Infections / complications, Central Nervous System Infections / diagnosis, Central Nervous System Infections / drug therapy, 'Pemphigoid, Bullous / complications', 'Pemphigoid, Bullous / diagnosis', 'Pemphigoid, Bullous / drug therapy', 'Pemphigoid, Bullous / etiology', 'Sjogren\'s Syndrome / complications', 'Sjogren\'s Syndrome / diagnosis', 'Sjogren\'s Syndrome / drug therapy', 'Sjogren\'s Syndrome / immunology']","[Central Nervous System Infections / complications, Central Nervous System Infections / diagnosis, Central Nervous System Infections / drug therapy, 'Pemphigoid, Bullous / complications', 'Pemphigoid, Bullous / diagnosis', 'Pemphigoid, Bullous / drug therapy', 'Pemphigoid, Bullous / etiology', 'Sjogren\'s Syndrome / complications', 'Sjogren\'s Syndrome / diagnosis', 'Sjogren\'s Syndrome / drug therapy', 'Sjogren\'s Syndrome / immunology', Case Reports, Aged, 'Antibodies, Monoclonal, Humanized / therapeutic use', Female, Humans, Methylprednisolone / therapeutic use, Methylprednisolone, 'Antibodies, Monoclonal, Humanized']",PMC11420039,39318633,Case report: Bullous pemphigoid combined with Sjögren's syndrome complicated by central nervous system infection,2024
PMC11259348,[Geethika Sajeewani Manchanayake],2,10.4103/ajts.AJTS_65_19,Asian J Transfus Sci,2024 Jan-Jun;18(1):148-150.,"[blood transfusion, p antigen-negative blood, paroxysmal cold hemoglobinuria]",CC BY-NC-SA,https://pubmed.ncbi.nlm.nih.gov/39036702/,[],[Case Reports],PMC11259348,39036702,A method for selecting P antigen-negative red cell units for patients with paroxysmal cold hemoglobinuria,2024
PMC11368112,"[Rong Liu, Tingfen Ji, Yixia Jiang, Hequan Li]",1,10.2147/JIR.S466840,J Inflamm Res,2024 Aug 29:17:5801-5805.,"[behçet’s disease, atrial mass, fever, pulmonary embolism]",CC BY-NC,https://pubmed.ncbi.nlm.nih.gov/39224656/,[],[Case Reports],PMC11368112,39224656,A Challenging Diagnosis of Behçet's Disease Starting from Unexplained Fever Recurrence with Pulmonary Embolism: A Case Report,2024
PMC11345641,"[Jianhao Sun, Xinjuan Jiao, Zhenzhen Wu, Tingting Yao, Shumei Tuo, Yueyuan Wang, Ruirong Chen, Jing He, Jifang Qian, Shengfang Xu, Qing Liu]",1,10.3389/fonc.2024.1434720,Front Oncol,2024 Aug 12:14:1434720.,"[laparoscopy, morcellation, tumor spread, undifferentiated sarcomas, uterine sarcomas]",CC BY,https://pubmed.ncbi.nlm.nih.gov/39188684/,[],[Case Reports],PMC11345641,39188684,Intraperitoneal spread in uterine sarcoma following unprotected laparoscopic transvaginal uterine morcellation: a case report and literature review,2024
PMC11723754,"[Arvind Kumar Sharma, Kumari Sunaina, Ivanah P Nongrum, Satyasheel Singh Asthana]",1,10.13107/jocr.2025.v15.i01.5188,J Orthop Case Rep,2025 Jan;15(1):241-246.,"[low-cost negative pressure dressing, pressure injury, vacuum assisted closure, neurorehabilitation, spinal cord injury]",CC BY-NC-SA,https://pubmed.ncbi.nlm.nih.gov/39801846/,[],[],PMC11723754,39801846,Role of Low-Cost Negative Pressure Dressing in the Management of Sacral Pressure Injuries and its Impact on Functional Recovery in Neuro-rehabilitation: A Retrospective Case Series,2025
PMC11783470,"[Rajarajeshwari Ramachandran, Tyler Grantham, Jeffrey Loeffler, Madhavi Reddy, Vinaya Gaduputi]",1,10.1177/23247096251313729,J Investig Med High Impact Case Rep,2025 Jan-Dec:13:23247096251313729.,"['gastric adenocarcinoma of fundic gland type (ga-fg)', 'gastric adenocarcinoma with chief cell differentiation (ga-ccd)', gastric adenoma, gastric polyp, oxyntic gland adenoma]",CC BY-NC,https://pubmed.ncbi.nlm.nih.gov/39884983/,"[Adenoma / diagnosis, Adenoma / pathology, Adenoma / surgery, Stomach Neoplasms / diagnosis, Stomach Neoplasms / pathology, Stomach Neoplasms / surgery]","[Adenoma / diagnosis, Adenoma / pathology, Adenoma / surgery, Stomach Neoplasms / diagnosis, Stomach Neoplasms / pathology, Stomach Neoplasms / surgery, Case Reports, 'Anemia, Iron-Deficiency / etiology', Female, Gastric Mucosa / pathology, Gastric Mucosa / surgery, Gastroscopy, Humans, Young Adult]",PMC11783470,39884983,Successful Endoscopic Management of Oxyntic Gland Adenoma: A Case Report,2025
PMC11722600,"[Abdala Bolcatto, Melisa Erina, Facundo Ignacio Mandojana, Nicolás Bruera, Alejandro Marcelo Doniquian, German Rodrigo Viscido]",2,10.1016/j.ijscr.2024.110743,Int J Surg Case Rep,2025 Jan:126:110743.,"[acute appendicitis, appendiceal endometriosis, laparoscopic appendectomy]",CC BY,https://pubmed.ncbi.nlm.nih.gov/39700583/,[],[Case Reports],PMC11722600,39700583,Acute appendicitis due to appendiceal endometriosis: Two case report and literature review,2025
PMC12215201,"[Archit Garg, Mehak Bassi, Capecomorin Pitchumoni, Arkady Broder]",1,10.1159/000546375,Case Rep Gastroenterol,2025 Jul 2;19(1):488-495.,"[abdominal pain, angiosarcoma, gastroenterology, hepatic angiosarcoma, liver, malignancy]",CC BY-NC,https://pubmed.ncbi.nlm.nih.gov/40607260/,[],[Case Reports],PMC12215201,40607260,Hepatic Angiosarcoma Presenting as Ascites: Case Report of a Rare yet Lethal Disease,2025
PMC12832199,"[Masatsugu Kojima, Toru Miyake, Soichiro Tani, Keiji Muramoto, Sachiko Kaida, Katsushi Takebayashi, Hiromitsu Maehira, Reiko Otake, Haruki Mori, Nobuhito Nitta, Tomoharu Shimizu, Masaji Tani]",1,10.70352/scrj.cr.25-0693,Surg Case Rep,2026;12(1):25-0693.,"[sugarbaker technique, laparoscopic surgery, parastomal hernia, stomach incarceration, stomach obstruction]",CC BY,https://pubmed.ncbi.nlm.nih.gov/41601912/,[],[Case Reports],PMC12832199,41601912,Laparoscopic Sugarbaker Repair of Parastomal Hernia with Gastric Incarceration: A Case Report and Review of the Literature,2026
