id,sentence
351,s r r r r f e
352,s r r r r f e
353,s r r f e
354,s p e
355,s r r p e
356,s e
357,s l l r r f e
358,s r r f e
359,s f e
360,s r r f e
361,s p e
362,s l l f e
363,s r r r r f e
364,s l l r r f e
365,s l l r r f e
366,s l l r r f e
367,s r r r r f e
368,s l l r r f e
369,s l l f e
370,s l l f e
371,s l l r r f e
372,s l l f e
373,s l l r r f e
374,s l l f e
375,s r r f e
376,s r r r r f e
377,s l l f e
378,s l l r r f e
379,s f e
380,s l l r r f e
381,s r r r r f e
382,s r r f e
383,s l l r r p e
384,i l l l l
385,s r r r r f e
386,s r r f e
387,s r r p e
388,s l l r r p e
389,i l l l l
390,s l l f e
391,i l l l l
392,s p e
393,s r r f e
394,s r r r r f e
395,s l l f e
396,s r r f e
397,s r r p e
398,s r r r r f e
399,s f e
400,s r r f e
401,s r r r r f e
402,s f e
403,s l l f e
404,s f e
405,s f e
406,s f e
407,s p e
408,s r r p e
409,s l l r r p e
410,s l l r r f e
411,s l l r r p e
412,s r r r r p e
413,s f e
414,s l l r r f e
415,s l l r r f e
416,s r r f e
417,s r r f e
418,s r r f e
419,s f e
420,i l l
421,s l l r r p e
422,s f e
423,s l l f e
424,s l l f e
425,s l l f e
426,i l l l l
427,s l l p e
428,s f e
429,s r r f e
430,s r r r r f e
431,s p e
432,s l l r r p e
433,s r r r r f e
434,s l l p e
435,s l l r r f e
436,s r r r r f e
437,s p e
438,s l l f e
439,s r r f e
440,s r r r r f e
441,s r r f e
442,s r r r r p e
443,s f e
444,s r r p e
445,s l l r r p e
446,s r r r r f e
447,s l l r r f e
448,s r r r r e
449,s r r p e
450,s l l p e
451,s l l f e
452,s r r r r f e
453,s f e
454,i l l
455,s f e
456,s p e
457,s l l r r f e
458,s l l f e
459,s p e
460,s l l r r f e
461,s r r r r f e
462,s r r r r f e
463,s r r r r f e
464,s l l r r f e
465,s r r e
466,i l l
467,s r r f e
468,i l l l l
469,s f e
470,s l l r r f e
471,s l l r r p e
472,s l l f e
473,i l l
474,s l l r r f e
475,s r r f e
476,s r r r r f e
477,i l l
478,s l l r r p e
479,s l l f e
480,s l l r r f e
481,s l l f e
482,s f e
483,s r r r r p e
484,s f e
485,s f e
486,s r r r r f e
487,i l l l l
488,s r r r r f e
489,s r r r r f e
490,s r r r r f e
491,s l l r r f e
492,s r r r r e
493,s r r f e
494,s l l r r f e
495,s l l f e
496,s l l p e
497,s r r f e
498,s l l r r f e
499,s r r r r f e
500,s l l r r f e
501,s r r r r f e
502,s f e
503,i l l l l
504,i l l l l
505,s l l f e
506,s l l p e
507,s f e
508,s l l p e
509,s l l r r f e
510,s l l r r f e
511,s l l f e
512,s l l r r f e
513,s f e
514,s l l f e
515,s r r f e
516,s r r e
517,s l l r r e
518,s l l f e
519,s l l e
520,s l l p e
521,s p e
522,s r r f e
523,s l l e
524,s l l f e
525,s r r f e
526,s p e
527,s r r f e
528,s r r f e
529,i l l
530,i l l
531,s l l r r f e
532,s r r r r f e
533,s l l r r f e
534,s f e
535,s l l r r p e
536,i l l l l
537,s r r r r f e
538,s p e
539,s r r r r f e
540,s r r r r f e
541,s r r e
542,s r r r r p e
543,s e
544,s r r r r f e
545,s l l r r p e
546,s e
547,s l l r r f e
548,s f e
549,s l l f e
550,i l l l l
551,s r r f e
552,s f e
553,s r r r r f e
554,i l l
555,s l l f e
556,s r r r r p e
557,s f e
558,s l l p e
559,s l l f e
560,s r r e
561,s l l r r f e
562,s f e
563,s r r r r f e
564,s r r p e
565,s l l r r e
566,s r r f e
567,s r r r r f e
568,s f e
569,s l l f e
570,s f e
571,s r r p e
572,s r r r r f e
573,s e
574,s l l r r f e
575,s f e
576,s l l f e
577,s l l r r f e
578,s l l p e
579,s r r r r f e
580,s r r r r f e
581,s l l f e
582,i l l l l
583,s l l r r f e
584,s r r e
585,s f e
586,s f e
587,s r r r r f e
588,s r r r r f e
589,s e
590,s r r f e
591,s r r r r p e
592,s l l r r f e
593,s l l r r f e
594,s l l f e
595,s r r r r e
596,s l l f e
597,s r r r r f e
598,s l l p e
599,s l l f e
600,i l l
601,s r r f e
602,s r r r r p e
603,i l l l l
604,s f e
605,s r r f e
606,s r r f e
607,i l l
608,s l l p e
609,s l l f e
610,s r r f e
611,s l l r r f e
612,s r r p e
613,s r r e
614,s r r f e
615,s r r e
616,s l l r r p e
617,s r r p e
618,s r r r r f e
619,s r r f e
620,i l l l l
621,s l l f e
622,s l l f e
623,s f e
624,s p e
625,s r r r r e
626,s l l r r p e
627,s e
628,s l l e
629,s r r r r f e
630,s l l r r e
631,s l l r r f e
632,i l l l l
633,s r r r r e
634,i l l l l
635,s f e
636,s l l r r f e
637,i l l l l
638,s l l r r p e
639,s f e
640,s r r r r f e
641,s l l p e
642,s l l f e
643,s l l r r p e
644,s f e
645,s f e
646,s r r f e
647,s l l r r f e
648,s f e
649,s f e
650,s r r r r f e
651,s l l f e
652,s l l r r f e
653,s r r f e
654,s l l f e
655,s r r r r f e
656,s l l f e
657,s l l p e
658,s r r r r p e
659,s r r r r f e
660,s r r r r f e
661,s r r f e
662,s r r f e
663,s r r r r p e
664,s r r r r f e
665,s r r r r p e
666,s r r p e
667,s r r r r f e
668,s e
669,i l l
670,i l l
671,s l l p e
672,i l l l l
673,s l l r r f e
674,s l l r r f e
675,s l l f e
676,s r r f e
677,s r r r r p e
678,s f e
679,s l l f e
680,s l l r r f e
681,s r r e
682,s p e
683,s l l p e
684,s r r f e
685,s r r r r p e
686,s l l f e
687,s r r p e
688,s r r r r f e
689,s l l f e
690,s l l f e
691,s f e
692,s r r f e
693,i l l l l
694,i l l l l
695,s r r r r e
696,i l l l l
697,s r r f e
698,s r r p e
699,s l l r r f e
700,s l l r r e
701,s l l r r f e
702,s r r f e
703,s l l r r p e
704,s l l f e
705,s l l f e
706,s p e
707,s r r r r f e
708,s r r e
709,s l l r r e
710,s l l r r f e
711,s l l f e
712,i l l l l
713,s r r f e
714,s r r f e
715,s e
716,s l l r r e
717,s r r r r f e
718,s f e
719,i l l l l
720,s f e
721,s l l r r f e
722,s l l f e
723,s l l r r f e
724,s p e
725,s l l f e
726,i l l l l
727,s f e
728,s l l r r f e
729,s r r r r p e
730,s l l f e
731,s r r f e
732,s l l f e
733,s f e
734,s r r r r f e
735,i l l
736,s l l p e
737,i l l
738,s f e
739,s l l r r f e
740,s r r f e
741,s l l r r f e
742,s l l r r f e
743,s l l f e
744,s r r r r f e
745,s f e
746,s l l f e
747,s f e
748,s r r p e
749,s r r r r f e
750,s l l r r p e
751,s e
752,s l l r r f e
753,s l l f e
754,s f e
755,s r r p e
756,s l l f e
757,i l l l l
758,s l l r r f e
759,s l l r r f e
760,s l l r r f e
761,s f e
762,i l l
763,s l l r r f e
764,s l l f e
765,s l l p e
766,s p e
767,s l l f e
768,s f e
769,s r r f e
770,s r r r r f e
771,s f e
772,s r r r r f e
773,s r r f e
774,s l l r r e
775,i l l l l
776,s r r f e
777,s r r r r f e
778,s r r r r f e
779,s r r f e
780,s r r r r f e
781,s r r e
782,s l l p e
783,s r r p e
784,s l l r r f e
785,s l l r r f e
786,s l l r r e
787,s l l f e
788,s r r f e
789,s r r f e
790,s r r r r f e
791,s r r r r e
792,s l l f e
793,s l l p e
794,s r r r r f e
795,s r r f e
796,s l l f e
797,i l l
798,s r r r r e
799,s r r r r p e
800,s l l r r f e
801,s p e
802,s r r f e
803,s l l r r f e
804,s l l e
805,s f e
806,s r r r r f e
807,s r r r r f e
808,s r r r r f e
809,s f e
810,s l l r r f e
811,i l l
812,s r r r r f e
813,s r r r r f e
814,s r r f e
815,s p e
816,s l l f e
817,i l l
818,s f e
819,i l l
820,s f e
821,s f e
822,s r r r r f e
823,s r r p e
824,s f e
825,s f e
826,s r r p e
827,s l l f e
828,s r r r r f e
829,s l l p e
830,s r r f e
831,s f e
832,s f e
833,s r r r r f e
834,s f e
835,s l l e
836,s r r r r f e
837,s r r r r f e
838,s f e
839,s l l r r f e
840,s l l f e
841,s r r r r f e
842,s l l f e
843,s r r r r f e
844,s l l p e
845,s f e
846,s l l r r f e
847,s p e
848,s l l r r f e
849,s l l f e
850,i l l
